,Datetime,Day of the Year,Description,District,Neighborhood
19714,2016-08-18 11:25:00,231,common assault,western,walbrook
19715,2016-08-18 10:50:00,231,larceny from auto,northeastern,loch raven
19716,2016-08-18 10:30:00,231,auto theft,northern,woodberry
19718,2016-08-18 10:14:00,231,larceny,northeastern,lauraville
19719,2016-08-18 10:10:00,231,burglary,southwestern,walbrook
19728,2016-08-18 08:30:00,231,burglary,southern,brooklyn
19731,2016-08-18 08:00:00,231,auto theft,central,reservoir hill
19737,2016-08-18 02:40:00,231,larceny,southwestern,irvington
19741,2016-08-18 02:16:00,231,common assault,southeastern,inner harbor
19749,2016-08-18 01:00:00,231,larceny,western,sandtown-winchester
19751,2016-08-18 00:44:00,231,common assault,southern,cherry hill
19753,2016-08-18 00:00:00,231,burglary,southwestern,morrell park
19754,2016-08-18 00:00:00,231,auto theft,southern,lakeland
19755,2016-08-17 23:30:00,230,auto theft,southwestern,morrell park
19758,2016-08-17 23:00:00,230,auto theft,northeastern,frankford
19767,2016-08-17 22:00:00,230,auto theft,southeastern,fells point
19770,2016-08-17 21:15:00,230,common assault,central,inner harbor
19773,2016-08-17 21:00:00,230,larceny,southeastern,canton
19780,2016-08-17 19:30:00,230,larceny,northwestern,howard park
19781,2016-08-17 19:25:00,230,common assault,southwestern,edmondson village
19782,2016-08-17 19:20:00,230,common assault,northern,remington
19783,2016-08-17 19:20:00,230,common assault,northern,remington
19784,2016-08-17 19:00:00,230,burglary,western,sandtown-winchester
19785,2016-08-17 19:00:00,230,larceny from auto,northern,guilford
19786,2016-08-17 19:00:00,230,larceny from auto,central,downtown
19788,2016-08-17 19:00:00,230,auto theft,southwestern,west hills
19790,2016-08-17 18:30:00,230,common assault,southwestern,walbrook
19791,2016-08-17 18:30:00,230,auto theft,northeastern,frankford
19795,2016-08-17 17:30:00,230,robbery - street,southern,brooklyn
19796,2016-08-17 17:30:00,230,burglary,northern,hampden
19799,2016-08-17 17:00:00,230,common assault,central,upton
19804,2016-08-17 17:00:00,230,larceny,southeastern,canton
19807,2016-08-17 16:30:00,230,auto theft,central,druid heights
19808,2016-08-17 16:15:00,230,agg. assault,western,sandtown-winchester
19811,2016-08-17 15:35:00,230,shooting,southwestern,walbrook
19812,2016-08-17 15:35:00,230,agg. assault,southwestern,walbrook
19814,2016-08-17 15:18:00,230,larceny,central,upton
19815,2016-08-17 15:00:00,230,larceny,northwestern,howard park
19817,2016-08-17 14:30:00,230,burglary,southern,cherry hill
19818,2016-08-17 14:00:00,230,burglary,southwestern,morrell park
19821,2016-08-17 13:50:00,230,larceny,southwestern,morrell park
19822,2016-08-17 13:39:00,230,larceny,central,poppleton
19823,2016-08-17 13:25:00,230,larceny from auto,southern,hollins market
19826,2016-08-17 12:30:00,230,agg. assault,central,downtown
19829,2016-08-17 12:00:00,230,burglary,eastern,middle east
19830,2016-08-17 12:00:00,230,larceny,southeastern,fells point
19832,2016-08-17 12:00:00,230,auto theft,central,reservoir hill
19833,2016-08-17 12:00:00,230,auto theft,northeastern,frankford
19834,2016-08-17 11:50:00,230,larceny from auto,southeastern,canton
19835,2016-08-17 11:47:00,230,larceny,eastern,middle east
19837,2016-08-17 11:25:00,230,burglary,southern,hollins market
19838,2016-08-17 11:15:00,230,robbery - commercial,southern,cherry hill
19843,2016-08-17 10:05:00,230,larceny,northeastern,frankford
19844,2016-08-17 10:00:00,230,larceny,southwestern,morrell park
19845,2016-08-17 09:45:00,230,common assault,central,downtown
19853,2016-08-17 08:30:00,230,burglary,northeastern,frankford
19858,2016-08-17 07:45:00,230,larceny,central,seton hill
19860,2016-08-17 07:30:00,230,larceny from auto,central,downtown
19862,2016-08-17 07:00:00,230,larceny from auto,northeastern,belair-edison
19864,2016-08-17 05:20:00,230,larceny,western,poppleton
19872,2016-08-17 03:30:00,230,larceny,northern,medfield
19886,2016-08-17 00:00:00,230,burglary,southeastern,fells point
19888,2016-08-16 23:50:00,229,common assault,central,downtown
19889,2016-08-16 23:49:00,229,agg. assault,southern,brooklyn
19892,2016-08-16 23:00:00,229,robbery - street,northeastern,loch raven
19894,2016-08-16 23:00:00,229,common assault,southeastern,canton
19895,2016-08-16 23:00:00,229,larceny from auto,southeastern,little italy
19897,2016-08-16 22:14:00,229,robbery - commercial,southern,cherry hill
19898,2016-08-16 22:10:00,229,agg. assault,western,sandtown-winchester
19900,2016-08-16 22:08:00,229,common assault,southern,curtis bay
19904,2016-08-16 21:30:00,229,larceny from auto,southern,cherry hill
19905,2016-08-16 21:30:00,229,larceny,northwestern,west arlington
19908,2016-08-16 20:45:00,229,robbery - street,central,seton hill
19909,2016-08-16 20:30:00,229,common assault,southern,mount winans
19911,2016-08-16 20:19:00,229,agg. assault,southern,brooklyn
19912,2016-08-16 20:10:00,229,agg. assault,southern,curtis bay
19915,2016-08-16 20:00:00,229,larceny from auto,northwestern,cheswolde
19919,2016-08-16 19:50:00,229,auto theft,central,downtown
19921,2016-08-16 19:45:00,229,auto theft,northeastern,loch raven
19922,2016-08-16 19:30:00,229,common assault,central,downtown
19923,2016-08-16 19:30:00,229,larceny from auto,northern,homeland
19925,2016-08-16 19:25:00,229,robbery - street,southeastern,fells point
19937,2016-08-16 17:30:00,229,larceny from auto,southern,brooklyn
19940,2016-08-16 17:00:00,229,agg. assault,southwestern,irvington
19941,2016-08-16 17:00:00,229,agg. assault,southern,curtis bay
19946,2016-08-16 16:39:00,229,larceny,northeastern,belair-edison
19950,2016-08-16 16:00:00,229,larceny,northwestern,howard park
19953,2016-08-16 15:30:00,229,larceny,southern,cherry hill
19955,2016-08-16 15:25:00,229,common assault,central,downtown
