,Datetime,Day of the Year,Description,District,Neighborhood
12486,2016-10-06 23:00:00,280,larceny from auto,southern,curtis bay
12490,2016-10-06 22:35:00,280,robbery - street,central,downtown
12492,2016-10-06 22:11:00,280,larceny,central,downtown
12494,2016-10-06 22:00:00,280,common assault,central,upton
12499,2016-10-06 21:30:00,280,larceny from auto,southwestern,west hills
12500,2016-10-06 21:21:00,280,agg. assault,northwestern,dorchester
12503,2016-10-06 21:00:00,280,common assault,southern,cherry hill
12504,2016-10-06 21:00:00,280,auto theft,southern,curtis bay
12506,2016-10-06 20:51:00,280,shooting,central,upton
12507,2016-10-06 20:47:00,280,larceny,southeastern,inner harbor
12508,2016-10-06 20:46:00,280,larceny,eastern,orangeville
12511,2016-10-06 20:00:00,280,robbery - street,northwestern,arlington
12515,2016-10-06 19:48:00,280,common assault,central,downtown
12516,2016-10-06 19:34:00,280,common assault,western,penn north
12521,2016-10-06 18:00:00,280,shooting,southwestern,edmondson village
12522,2016-10-06 18:35:00,280,common assault,central,downtown
12523,2016-10-06 18:30:00,280,burglary,western,harlem park
12524,2016-10-06 18:18:00,280,larceny,northwestern,dorchester
12527,2016-10-06 18:00:00,280,larceny,central,downtown
12528,2016-10-06 17:41:00,280,homicide,central,upton
12529,2016-10-06 17:15:00,280,shooting,northwestern,howard park
12530,2016-10-06 17:57:00,280,agg. assault,northwestern,howard park
12532,2016-10-06 17:30:00,280,auto theft,southern,brooklyn
12535,2016-10-06 16:30:00,280,common assault,central,downtown
12539,2016-10-06 15:57:14,280,rape,western,sandtown-winchester
12540,2016-10-06 15:57:00,280,common assault,central,downtown
12541,2016-10-06 15:57:00,280,common assault,central,downtown
12542,2016-10-06 15:32:00,280,larceny from auto,southern,brooklyn
12543,2016-10-06 15:30:00,280,common assault,central,inner harbor
12546,2016-10-06 15:00:00,280,larceny,southeastern,fells point
12547,2016-10-06 14:56:00,280,larceny,southeastern,little italy
12548,2016-10-06 14:40:00,280,larceny,central,inner harbor
12549,2016-10-06 14:30:00,280,common assault,southern,brooklyn
12551,2016-10-06 13:57:00,280,common assault,northeastern,belair-edison
12554,2016-10-06 13:41:00,280,robbery - carjacking,southern,brooklyn
12555,2016-10-06 13:35:00,280,burglary,southeastern,canton
12558,2016-10-06 13:00:00,280,agg. assault,southern,hollins market
12563,2016-10-06 12:00:00,280,burglary,northwestern,dorchester
12567,2016-10-06 10:50:00,280,burglary,southeastern,canton
12568,2016-10-06 10:30:00,280,common assault,southeastern,fells point
12569,2016-10-06 10:30:00,280,burglary,southern,cherry hill
12573,2016-10-06 09:37:00,280,burglary,southern,cherry hill
12582,2016-10-06 05:30:00,280,robbery - residence,western,penn north
12584,2016-10-06 03:50:00,280,arson,southern,brooklyn
12586,2016-10-06 03:45:00,280,larceny,central,downtown
12588,2016-10-06 02:50:00,280,common assault,southern,cherry hill
12589,2016-10-06 02:44:00,280,common assault,northeastern,frankford
12590,2016-10-06 02:15:00,280,larceny from auto,southern,curtis bay
12598,2016-10-06 00:00:00,280,larceny,eastern,orangeville
12600,2016-10-05 23:40:17,279,rape,central,downtown
12601,2016-10-05 23:40:00,279,common assault,northwestern,arlington
12602,2016-10-05 23:40:00,279,common assault,northwestern,arlington
12607,2016-10-05 23:00:00,279,common assault,northwestern,arlington
12610,2016-10-05 22:05:00,279,shooting,northeastern,loch raven
12614,2016-10-05 22:15:00,279,agg. assault,northeastern,frankford
12618,2016-10-05 21:56:00,279,larceny,central,downtown
12621,2016-10-05 21:20:00,279,common assault,northeastern,loch raven
12624,2016-10-05 20:54:00,279,agg. assault,central,upton
12628,2016-10-05 20:30:00,279,auto theft,southwestern,edmondson village
12630,2016-10-05 20:00:00,279,larceny,northeastern,frankford
12632,2016-10-05 20:00:00,279,larceny,central,inner harbor
12633,2016-10-05 19:56:00,279,common assault,northern,hampden
12634,2016-10-05 19:51:00,279,common assault,central,downtown
12635,2016-10-05 19:30:00,279,robbery - street,central,poppleton
12637,2016-10-05 19:20:00,279,larceny,northeastern,belair-edison
12639,2016-10-05 19:00:00,279,larceny,northern,hampden
12643,2016-10-05 18:45:00,279,burglary,southern,brooklyn
12644,2016-10-05 18:45:00,279,larceny,eastern,oldtown
12648,2016-10-05 18:00:00,279,burglary,southwestern,walbrook
12652,2016-10-05 17:18:00,279,robbery - street,central,downtown
12653,2016-10-05 17:13:00,279,robbery - street,central,downtown
12659,2016-10-05 16:47:00,279,robbery - street,central,downtown
12660,2016-10-05 16:30:00,279,larceny,western,penn north
12666,2016-10-05 15:06:00,279,shooting,central,upton
12675,2016-10-05 14:59:00,279,agg. assault,central,upton
12676,2016-10-05 14:45:00,279,burglary,northwestern,dorchester
12681,2016-10-05 14:10:00,279,robbery - street,western,harlem park
12684,2016-10-05 14:00:00,279,common assault,central,downtown
12692,2016-10-05 12:00:00,279,assault by threat,western,sandtown-winchester
12699,2016-10-05 11:45:00,279,larceny from auto,central,seton hill
12700,2016-10-05 11:30:00,279,common assault,southern,curtis bay
12711,2016-10-05 10:25:00,279,auto theft,southern,brooklyn
12712,2016-10-05 10:25:00,279,auto theft,southern,brooklyn
12718,2016-10-05 09:00:00,279,larceny from auto,eastern,middle east
12720,2016-10-05 08:32:00,279,burglary,central,reservoir hill
12725,2016-10-05 08:00:00,279,auto theft,western,harlem park
12726,2016-10-05 07:54:00,279,assault by threat,northwestern,cheswolde
12728,2016-10-05 07:30:00,279,common assault,southern,brooklyn
12734,2016-10-05 06:15:00,279,larceny from auto,central,seton hill
12735,2016-10-05 06:05:00,279,burglary,northwestern,forest park
12736,2016-10-05 05:50:00,279,burglary,central,druid heights
12739,2016-10-05 05:10:00,279,larceny,southern,cherry hill
12740,2016-10-05 03:53:00,279,burglary,eastern,orangeville
12741,2016-10-05 03:32:00,279,common assault,southwestern,edmondson village
12742,2016-10-05 03:12:00,279,larceny,southwestern,irvington
12744,2016-10-05 03:00:00,279,common assault,northwestern,arlington
12745,2016-10-05 03:00:00,279,common assault,northwestern,arlington
12746,2016-10-05 03:00:00,279,common assault,northwestern,arlington
12747,2016-10-05 03:00:00,279,common assault,northwestern,arlington
12749,2016-10-05 02:00:00,279,burglary,northeastern,frankford
12751,2016-10-05 01:50:00,279,common assault,southern,cherry hill
12752,2016-10-05 01:01:00,279,agg. assault,northern,remington
12753,2016-10-05 01:00:00,279,agg. assault,western,harlem park
12754,2016-10-05 00:30:00,279,burglary,northeastern,lauraville
12756,2016-10-05 00:28:00,279,common assault,western,poppleton
12758,2016-10-05 00:10:00,279,larceny,central,upton
12763,2016-10-04 23:09:00,278,burglary,southwestern,irvington
12764,2016-10-04 23:00:00,278,burglary,southern,brooklyn
12781,2016-10-04 21:00:00,278,agg. assault,western,penn north
12785,2016-10-04 20:50:00,278,larceny from auto,northern,coldspring
12786,2016-10-04 20:45:00,278,agg. assault,southern,cherry hill
12788,2016-10-04 20:30:00,278,larceny,southern,cherry hill
12789,2016-10-04 20:17:00,278,assault by threat,southern,curtis bay
12794,2016-10-04 20:00:00,278,larceny,central,inner harbor
12798,2016-10-04 19:50:00,278,robbery - street,southern,hollins market
12800,2016-10-04 19:40:00,278,assault by threat,southern,brooklyn
12806,2016-10-04 18:43:44,278,rape,northeastern,frankford
12812,2016-10-04 17:50:00,278,robbery - street,eastern,oldtown
12818,2016-10-04 17:00:00,278,larceny,southern,brooklyn
12823,2016-10-04 16:16:00,278,robbery - street,northern,mount washington
12825,2016-10-04 16:00:00,278,common assault,southern,cherry hill
12826,2016-10-04 16:00:00,278,burglary,northeastern,belair-edison
12831,2016-10-04 15:30:00,278,agg. assault,southern,cherry hill
12833,2016-10-04 15:30:00,278,larceny from auto,southern,cherry hill
12834,2016-10-04 15:00:00,278,assault by threat,central,upton
12836,2016-10-04 14:30:00,278,larceny,western,harlem park
12840,2016-10-04 14:05:00,278,agg. assault,eastern,oldtown
12844,2016-10-04 13:03:00,278,homicide,northeastern,belair-edison
12845,2016-10-04 13:57:00,278,assault by threat,western,sandtown-winchester
12850,2016-10-04 13:00:00,278,burglary,northwestern,arlington
12851,2016-10-04 13:00:00,278,larceny,central,poppleton
12854,2016-10-04 12:00:00,278,burglary,northeastern,frankford
12858,2016-10-04 11:00:00,278,common assault,southeastern,canton
12859,2016-10-04 11:00:00,278,burglary,northern,guilford
12866,2016-10-04 10:00:00,278,burglary,southwestern,beechfield
12873,2016-10-04 09:00:00,278,larceny,central,reservoir hill
12876,2016-10-04 08:00:00,278,burglary,southern,cherry hill
12877,2016-10-04 08:00:00,278,burglary,southern,cherry hill
12878,2016-10-04 08:00:00,278,auto theft,southwestern,violetville
12882,2016-10-04 07:00:00,278,auto theft,southern,brooklyn
12883,2016-10-04 06:30:00,278,common assault,northeastern,belair-edison
12884,2016-10-04 06:30:00,278,larceny,southeastern,fells point
12888,2016-10-04 05:11:00,278,common assault,central,downtown
12893,2016-10-04 03:30:00,278,agg. assault,southern,brooklyn
12895,2016-10-04 03:00:00,278,auto theft,northern,homeland
12897,2016-10-04 01:50:00,278,burglary,northern,mount washington
12898,2016-10-04 01:40:00,278,agg. assault,southern,cherry hill
12900,2016-10-04 01:00:00,278,burglary,northwestern,cheswolde
12901,2016-10-04 01:00:00,278,larceny,southeastern,canton
12903,2016-10-04 00:47:00,278,common assault,southern,cherry hill
12907,2016-10-04 00:00:00,278,larceny,southwestern,morrell park
12914,2016-10-03 22:35:00,277,agg. assault,northeastern,frankford
12916,2016-10-03 22:00:00,277,common assault,eastern,oldtown
12918,2016-10-03 22:00:00,277,auto theft,central,seton hill
12921,2016-10-03 21:40:00,277,larceny,southern,federal hill
12933,2016-10-03 20:00:00,277,robbery - street,central,downtown
12935,2016-10-03 20:00:00,277,larceny,central,barclay
12936,2016-10-03 20:00:00,277,auto theft,western,penn north
12947,2016-10-03 18:00:00,277,auto theft,northeastern,frankford
12951,2016-10-03 17:28:00,277,burglary,southwestern,morrell park
12952,2016-10-03 17:00:00,277,agg. assault,central,reservoir hill
12953,2016-10-03 17:00:00,277,agg. assault,central,reservoir hill
12954,2016-10-03 17:00:00,277,larceny,northwestern,arlington
12956,2016-10-03 17:00:00,277,larceny,northern,woodberry
12958,2016-10-03 16:22:00,277,agg. assault,southern,cherry hill
12959,2016-10-03 16:19:00,277,agg. assault,eastern,oldtown
12960,2016-10-03 16:06:00,277,larceny,southwestern,morrell park
12965,2016-10-03 15:30:00,277,larceny,northeastern,frankford
12968,2016-10-03 15:00:00,277,larceny from auto,southeastern,fells point
12971,2016-10-03 10:30:00,277,larceny,southwestern,dickeyville
12973,2016-10-03 14:00:00,277,auto theft,western,penn north
12979,2016-10-03 13:20:00,277,larceny,northeastern,belair-edison
12983,2016-10-03 13:00:00,277,auto theft,southern,brooklyn
12986,2016-10-03 12:45:00,277,larceny from auto,northwestern,cheswolde
12987,2016-10-03 12:24:00,277,assault by threat,northeastern,belair-edison
12988,2016-10-03 12:03:00,277,larceny,central,downtown
12991,2016-10-03 11:53:00,277,common assault,central,downtown
13004,2016-10-03 09:40:00,277,auto theft,southern,curtis bay
13005,2016-10-03 09:30:00,277,larceny,southwestern,violetville
13017,2016-10-03 07:05:00,277,burglary,northeastern,belair-edison
13020,2016-10-03 06:45:00,277,agg. assault,southern,brooklyn
13024,2016-10-03 04:30:00,277,auto theft,southern,mount winans
13028,2016-10-03 02:00:00,277,auto theft,southern,brooklyn
13029,2016-10-03 01:15:00,277,homicide,southern,lakeland
13031,2016-10-03 01:50:00,277,agg. assault,southeastern,fells point
13032,2016-10-03 01:30:00,277,larceny from auto,northern,coldspring
13034,2016-10-03 01:06:00,277,auto theft,central,downtown
13035,2016-10-03 01:01:00,277,robbery - street,southwestern,irvington
13038,2016-10-03 00:25:00,277,robbery - street,western,harlem park
13039,2016-10-03 00:00:00,277,robbery - carjacking,western,harlem park
13047,2016-10-02 23:30:00,276,robbery - street,central,seton hill
13049,2016-10-02 23:30:00,276,larceny,central,downtown
13052,2016-10-02 22:15:00,276,common assault,northwestern,cheswolde
13054,2016-10-02 22:00:00,276,larceny from auto,southeastern,canton
13056,2016-10-02 22:00:00,276,larceny,northwestern,howard park
13058,2016-10-02 21:50:00,276,larceny from auto,southeastern,canton
13059,2016-10-02 21:15:00,276,robbery - street,northeastern,lauraville
13060,2016-10-02 21:15:00,276,auto theft,western,poppleton
13062,2016-10-02 21:00:00,276,common assault,central,reservoir hill
13063,2016-10-02 21:00:00,276,burglary,western,harlem park
13064,2016-10-02 21:00:00,276,burglary,southwestern,ten hills
13077,2016-10-02 20:00:00,276,larceny from auto,northwestern,ashburton
13079,2016-10-02 20:00:00,276,larceny,western,poppleton
13080,2016-10-02 20:00:00,276,larceny,western,sandtown-winchester
13083,2016-10-02 20:00:00,276,auto theft,southern,brooklyn
13088,2016-10-02 19:30:00,276,larceny,northern,mount washington
13089,2016-10-02 19:00:00,276,robbery - street,western,penn north
13093,2016-10-02 18:10:00,276,agg. assault,southeastern,fells point
13095,2016-10-02 18:00:00,276,larceny,western,penn north
13097,2016-10-02 18:00:00,276,auto theft,western,sandtown-winchester
13099,2016-10-02 17:45:00,276,larceny,southern,lakeland
13103,2016-10-02 17:00:00,276,common assault,central,reservoir hill
13104,2016-10-02 17:00:00,276,larceny from auto,southeastern,highlandtown
13105,2016-10-02 17:00:00,276,larceny,southern,brooklyn
13108,2016-10-02 16:50:00,276,common assault,southeastern,inner harbor
13109,2016-10-02 16:50:00,276,larceny,southern,lakeland
13111,2016-10-02 16:44:00,276,burglary,southern,brooklyn
13112,2016-10-02 16:42:00,276,robbery - street,southern,hollins market
13113,2016-10-02 16:42:00,276,robbery - street,southern,hollins market
13115,2016-10-02 16:30:00,276,larceny from auto,southeastern,fells point
13117,2016-10-02 16:20:00,276,auto theft,northeastern,loch raven
13120,2016-10-02 15:50:00,276,larceny from auto,northern,coldspring
13124,2016-10-02 15:00:00,276,larceny,northwestern,arlington
13129,2016-10-02 14:00:00,276,larceny,southwestern,beechfield
13130,2016-10-02 14:00:00,276,larceny,western,poppleton
13132,2016-10-02 13:53:00,276,agg. assault,western,sandtown-winchester
13139,2016-10-02 13:00:00,276,larceny from auto,southern,hollins market
13141,2016-10-02 13:00:00,276,auto theft,southeastern,canton
13143,2016-10-02 12:15:00,276,burglary,southern,cherry hill
13145,2016-10-02 12:00:00,276,larceny,northern,medfield
13147,2016-10-02 12:00:00,276,auto theft,northwestern,west arlington
13156,2016-10-02 09:50:00,276,auto theft,northeastern,belair-edison
13164,2016-10-02 06:40:00,276,larceny,southern,brooklyn
13166,2016-10-02 05:37:00,276,common assault,southern,cherry hill
13167,2016-10-02 05:35:00,276,common assault,southern,brooklyn
13168,2016-10-02 05:30:00,276,common assault,northeastern,frankford
13171,2016-10-02 04:00:00,276,arson,southwestern,morrell park
13175,2016-10-02 02:00:00,276,common assault,central,downtown
13177,2016-10-02 01:25:00,276,robbery - carjacking,southern,westport
13179,2016-10-02 01:09:00,276,burglary,central,downtown
13183,2016-10-02 00:30:00,276,larceny from auto,northern,guilford
13189,2016-10-01 23:40:00,275,auto theft,central,downtown
13191,2016-10-01 23:30:00,275,robbery - street,southeastern,fells point
13194,2016-10-01 23:00:00,275,auto theft,southeastern,fells point
13198,2016-10-01 22:54:00,275,assault by threat,northwestern,forest park
13201,2016-10-01 22:08:00,275,common assault,western,poppleton
13202,2016-10-01 22:07:00,275,agg. assault,southern,curtis bay
13203,2016-10-01 22:05:00,275,common assault,northeastern,loch raven
13204,2016-10-01 22:00:00,275,burglary,southwestern,irvington
13205,2016-10-01 22:00:00,275,larceny from auto,southwestern,west hills
13207,2016-10-01 21:15:00,275,agg. assault,southern,cherry hill
13208,2016-10-01 21:15:00,275,common assault,northeastern,frankford
13210,2016-10-01 21:00:00,275,larceny from auto,eastern,middle east
13212,2016-10-01 21:00:00,275,larceny,southern,curtis bay
13214,2016-10-01 20:35:00,275,common assault,central,upton
13215,2016-10-01 20:30:00,275,auto theft,southern,brooklyn
13216,2016-10-01 20:30:00,275,auto theft,southern,curtis bay
13221,2016-10-01 20:00:00,275,larceny,southern,curtis bay
13223,2016-10-01 20:00:00,275,auto theft,western,penn north
13224,2016-10-01 20:00:00,275,auto theft,northeastern,cedonia
13225,2016-10-01 19:30:00,275,larceny from auto,southern,brooklyn
13231,2016-10-01 19:00:00,275,common assault,northeastern,belair-edison
13232,2016-10-01 18:15:00,275,agg. assault,southern,federal hill
13238,2016-10-01 18:00:00,275,auto theft,southeastern,fells point
13243,2016-10-01 17:30:00,275,larceny from auto,western,harlem park
13244,2016-10-01 17:25:00,275,common assault,central,inner harbor
13248,2016-10-01 16:28:00,275,auto theft,northwestern,arlington
13251,2016-10-01 16:00:00,275,auto theft,southeastern,fells point
13252,2016-10-01 15:35:00,275,robbery - street,northern,guilford
13254,2016-10-01 15:15:00,275,burglary,southwestern,west hills
13255,2016-10-01 15:15:00,275,auto theft,southeastern,canton
13256,2016-10-01 15:00:00,275,burglary,northwestern,forest park
13259,2016-10-01 14:38:00,275,larceny,central,druid heights
13261,2016-10-01 14:00:00,275,larceny from auto,southern,curtis bay
13267,2016-10-01 13:45:00,275,larceny,central,inner harbor
13268,2016-10-01 13:45:00,275,larceny,southern,brooklyn
13269,2016-10-01 13:35:00,275,robbery - street,northeastern,frankford
13270,2016-10-01 13:28:00,275,assault by threat,central,seton hill
13272,2016-10-01 13:15:00,275,burglary,southern,lakeland
13273,2016-10-01 13:07:00,275,agg. assault,southeastern,fells point
13274,2016-10-01 13:00:00,275,burglary,northeastern,loch raven
13275,2016-10-01 13:00:00,275,larceny from auto,southeastern,canton
13276,2016-10-01 13:00:00,275,auto theft,southeastern,highlandtown
13278,2016-10-01 12:30:00,275,larceny from auto,southern,federal hill
13279,2016-10-01 12:30:00,275,larceny,central,inner harbor
13280,2016-10-01 12:00:00,275,larceny,northwestern,west arlington
13284,2016-10-01 11:50:00,275,larceny,central,downtown
13285,2016-10-01 11:45:00,275,auto theft,western,sandtown-winchester
13286,2016-10-01 11:04:00,275,agg. assault,southwestern,violetville
13289,2016-10-01 10:00:00,275,burglary,northeastern,belair-edison
13290,2016-10-01 10:00:00,275,burglary,northeastern,belair-edison
13295,2016-10-01 09:11:00,275,larceny,central,downtown
13298,2016-10-01 08:00:00,275,burglary,southwestern,walbrook
13301,2016-10-01 07:39:00,275,common assault,central,downtown
13302,2016-10-01 07:00:00,275,auto theft,southeastern,fells point
13304,2016-10-01 06:37:00,275,burglary,northern,hampden
13307,2016-10-01 05:45:00,275,arson,southern,cherry hill
13311,2016-10-01 03:30:00,275,larceny,central,downtown
13312,2016-10-01 03:18:00,275,robbery - commercial,central,downtown
13315,2016-10-01 02:50:00,275,common assault,southern,federal hill
13319,2016-10-01 02:01:00,275,agg. assault,central,downtown
13321,2016-10-01 01:59:15,275,rape,central,poppleton
13322,2016-10-01 01:32:00,275,common assault,southwestern,morrell park
13328,2016-10-01 00:30:00,275,larceny from auto,northeastern,cedonia
13329,2016-10-01 00:15:00,275,auto theft,northeastern,frankford
13331,2016-10-01 00:00:00,275,burglary,southwestern,irvington
13335,2016-10-01 00:00:00,275,larceny,northern,hampden
13336,2016-09-30 23:50:00,274,shooting,eastern,oldtown
13337,2016-09-30 23:52:00,274,agg. assault,eastern,oldtown
13338,2016-09-30 23:40:00,274,agg. assault,southern,curtis bay
13339,2016-09-30 23:40:00,274,agg. assault,southern,curtis bay
13340,2016-09-30 23:38:00,274,agg. assault,southern,brooklyn
13342,2016-09-30 23:30:00,274,larceny,northern,barclay
13343,2016-09-30 23:20:00,274,burglary,central,upton
13350,2016-09-30 22:22:00,274,larceny from auto,eastern,middle east
13351,2016-09-30 22:20:00,274,common assault,southern,brooklyn
13353,2016-09-30 22:11:00,274,larceny from auto,central,federal hill
13357,2016-09-30 21:30:00,274,larceny,northeastern,frankford
13359,2016-09-30 21:19:00,274,larceny,central,downtown
13360,2016-09-30 21:15:00,274,robbery - residence,western,poppleton
13362,2016-09-30 21:00:00,274,larceny from auto,northeastern,loch raven
13363,2016-09-30 21:00:00,274,auto theft,southern,lakeland
13364,2016-09-30 21:00:00,274,auto theft,northwestern,ashburton
13365,2016-09-30 20:40:00,274,larceny,central,inner harbor
13366,2016-09-30 20:37:00,274,larceny,northern,medfield
13369,2016-09-30 20:00:00,274,larceny,southeastern,canton
13371,2016-09-30 19:38:00,274,robbery - commercial,southwestern,morrell park
13378,2016-09-30 18:52:00,274,common assault,central,upton
13379,2016-09-30 18:42:00,274,larceny,northwestern,howard park
13380,2016-09-30 18:30:00,274,burglary,northwestern,ashburton
13382,2016-09-30 18:30:00,274,auto theft,southeastern,canton
13383,2016-09-30 18:20:00,274,robbery - carjacking,southern,hollins market
13385,2016-09-30 18:00:00,274,common assault,southern,cherry hill
13386,2016-09-30 18:00:00,274,burglary,western,sandtown-winchester
13387,2016-09-30 18:00:00,274,larceny,southern,hollins market
13391,2016-09-30 17:30:00,274,agg. assault,southeastern,highlandtown
13393,2016-09-30 17:30:00,274,larceny,northeastern,belair-edison
13394,2016-09-30 17:25:00,274,common assault,northern,hampden
13395,2016-09-30 17:15:00,274,larceny,southeastern,fells point
13405,2016-09-30 17:00:00,274,auto theft,southern,curtis bay
13406,2016-09-30 16:32:00,274,larceny,central,downtown
13408,2016-09-30 16:30:00,274,auto theft,southern,curtis bay
13415,2016-09-30 16:00:00,274,auto theft,northwestern,cheswolde
13421,2016-09-30 15:10:00,274,common assault,southern,brooklyn
13425,2016-09-30 14:47:00,274,larceny from auto,western,sandtown-winchester
13430,2016-09-30 13:40:00,274,common assault,western,harlem park
13431,2016-09-30 13:30:00,274,common assault,southern,federal hill
13432,2016-09-30 13:30:00,274,common assault,southwestern,dickeyville
13435,2016-09-30 13:00:00,274,larceny,southeastern,highlandtown
13436,2016-09-30 13:00:00,274,larceny,southeastern,little italy
13439,2016-09-30 12:47:00,274,larceny,central,upton
13440,2016-09-30 12:45:00,274,robbery - residence,southern,brooklyn
13441,2016-09-30 12:44:00,274,burglary,southern,curtis bay
13442,2016-09-30 12:33:00,274,robbery - street,central,downtown
13444,2016-09-30 12:30:00,274,robbery - street,northern,guilford
13445,2016-09-30 12:30:00,274,larceny from auto,northern,mount washington
13446,2016-09-30 12:00:00,274,common assault,central,poppleton
13452,2016-09-30 11:45:00,274,larceny from auto,northern,mount washington
13453,2016-09-30 11:30:00,274,larceny from auto,southwestern,allendale
13455,2016-09-30 11:00:00,274,common assault,northern,hampden
13463,2016-09-30 10:00:00,274,larceny,northeastern,belair-edison
13464,2016-09-30 09:34:00,274,common assault,northeastern,belair-edison
13465,2016-09-30 09:30:00,274,robbery - street,central,inner harbor
13468,2016-09-30 09:13:00,274,agg. assault,western,poppleton
13469,2016-09-30 09:00:00,274,burglary,northwestern,west arlington
13475,2016-09-30 08:00:00,274,burglary,southwestern,morrell park
13476,2016-09-30 08:00:00,274,larceny from auto,central,seton hill
13478,2016-09-30 07:45:00,274,burglary,western,poppleton
13480,2016-09-30 07:20:00,274,agg. assault,southern,lakeland
13484,2016-09-30 05:00:00,274,robbery - street,central,downtown
13488,2016-09-30 02:00:00,274,common assault,northern,remington
13493,2016-09-30 01:01:00,274,common assault,central,downtown
13494,2016-09-30 01:00:00,274,larceny,northwestern,arlington
13496,2016-09-30 00:51:00,274,larceny,northeastern,loch raven
13497,2016-09-30 00:27:00,274,agg. assault,northern,barclay
13498,2016-09-30 00:10:00,274,auto theft,central,downtown
13499,2016-09-30 00:00:00,274,burglary,northeastern,belair-edison
13501,2016-09-30 00:00:00,274,larceny,southeastern,little italy
13506,2016-09-29 23:00:00,273,burglary,northern,remington
13507,2016-09-29 23:00:00,273,auto theft,northwestern,ashburton
13509,2016-09-29 22:30:00,273,larceny from auto,southern,lakeland
13510,2016-09-29 22:23:00,273,common assault,western,harlem park
13514,2016-09-29 22:03:00,273,robbery - commercial,southwestern,ten hills
13517,2016-09-29 21:50:00,273,robbery - commercial,northern,remington
13522,2016-09-29 20:30:00,273,larceny from auto,southeastern,canton
13524,2016-09-29 20:08:00,273,common assault,southern,cherry hill
13526,2016-09-29 20:00:00,273,auto theft,northern,homeland
13528,2016-09-29 19:35:00,273,burglary,northern,remington
13529,2016-09-29 19:20:00,273,agg. assault,southern,curtis bay
13530,2016-09-29 19:00:00,273,larceny,southwestern,beechfield
13533,2016-09-29 18:30:00,273,robbery - street,central,downtown
13535,2016-09-29 18:30:00,273,auto theft,central,druid heights
13536,2016-09-29 18:30:00,273,auto theft,northeastern,frankford
13537,2016-09-29 18:25:00,273,robbery - commercial,central,downtown
13540,2016-09-29 17:50:00,273,auto theft,southeastern,highlandtown
13542,2016-09-29 17:45:00,273,common assault,central,upton
13543,2016-09-29 17:45:00,273,assault by threat,eastern,oldtown
13545,2016-09-29 17:10:00,273,burglary,western,sandtown-winchester
13546,2016-09-29 17:05:00,273,agg. assault,central,upton
13547,2016-09-29 17:00:00,273,larceny,southwestern,walbrook
13550,2016-09-29 16:40:00,273,larceny,northwestern,arlington
13553,2016-09-29 16:21:00,273,larceny,central,inner harbor
13556,2016-09-29 16:00:00,273,robbery - street,northeastern,frankford
13561,2016-09-29 15:00:00,273,burglary,southwestern,morrell park
13562,2016-09-29 15:00:00,273,larceny,southeastern,canton
13564,2016-09-29 14:40:00,273,larceny from auto,southeastern,highlandtown
13573,2016-09-29 13:22:00,273,larceny,northeastern,belair-edison
13576,2016-09-29 13:00:00,273,larceny,central,downtown
13578,2016-09-29 12:30:00,273,larceny from auto,northwestern,howard park
13581,2016-09-29 12:00:00,273,larceny from auto,southwestern,dickeyville
13582,2016-09-29 11:15:00,273,robbery - street,northwestern,howard park
13588,2016-09-29 10:00:00,273,burglary,southern,cherry hill
13589,2016-09-29 10:00:00,273,larceny,western,penn north
13592,2016-09-29 09:30:00,273,auto theft,western,penn north
13598,2016-09-29 08:00:00,273,common assault,southern,brooklyn
13600,2016-09-29 08:00:00,273,burglary,northern,woodberry
13601,2016-09-29 08:00:00,273,burglary,northern,woodberry
13607,2016-09-29 07:00:00,273,larceny from auto,southern,cherry hill
13613,2016-09-29 04:25:00,273,auto theft,southwestern,west hills
13616,2016-09-29 03:15:00,273,burglary,central,downtown
13619,2016-09-29 02:40:00,273,larceny,southeastern,inner harbor
13620,2016-09-29 01:59:00,273,burglary,southern,hollins market
13621,2016-09-29 01:45:00,273,robbery - street,northwestern,arlington
13622,2016-09-29 01:01:00,273,larceny,northeastern,frankford
13627,2016-09-29 00:00:00,273,burglary,northern,remington
13628,2016-09-29 00:00:00,273,larceny,southwestern,morrell park
13629,2016-09-29 00:00:00,273,larceny,southwestern,morrell park
13632,2016-09-28 23:20:00,272,robbery - street,southern,lakeland
13635,2016-09-28 23:00:00,272,burglary,central,druid heights
13639,2016-09-28 21:30:00,272,larceny from auto,eastern,oldtown
13643,2016-09-28 20:00:00,272,auto theft,northeastern,belair-edison
13647,2016-09-28 19:24:00,272,larceny from auto,central,downtown
13649,2016-09-28 18:30:00,272,larceny,western,sandtown-winchester
13650,2016-09-28 18:30:00,272,larceny,southern,cherry hill
13651,2016-09-28 18:30:00,272,larceny,southeastern,canton
13654,2016-09-28 18:00:00,272,larceny from auto,eastern,middle east
13660,2016-09-28 17:00:00,272,auto theft,southern,curtis bay
13668,2016-09-28 16:28:00,272,larceny,central,downtown
13670,2016-09-28 16:21:00,272,auto theft,northwestern,howard park
13671,2016-09-28 16:20:00,272,assault by threat,southeastern,highlandtown
13672,2016-09-28 16:20:00,272,burglary,southeastern,canton
13676,2016-09-28 16:00:00,272,auto theft,southwestern,morrell park
13678,2016-09-28 15:45:00,272,agg. assault,northeastern,lauraville
13682,2016-09-28 15:30:00,272,auto theft,northeastern,frankford
13685,2016-09-28 15:00:00,272,burglary,northeastern,loch raven
13686,2016-09-28 15:00:00,272,larceny,southeastern,inner harbor
